E,px,py,pz
661.4,-143.61,207.7,351.7
530.42,38.91,-172.0,-15.63
1013.86,-83.18,-102.74,872.03
592.28,-141.18,48.27,280.23
929.39,-280.52,-126.23,720.51
1199.83,-23.01,-254.46,1060.33
528.53,60.0,-97.82,127.19
736.02,-172.63,100.12,-501.89
1847.85,640.82,729.54,-1490.53
821.21,-301.95,-76.69,572.13
763.18,-304.29,-51.05,-487.08
627.32,-99.56,-169.14,-324.05
556.13,190.94,-42.53,-144.98
1008.5,-25.49,-86.46,871.17
2438.84,100.48,-379.13,2354.59
748.48,-378.78,248.8,323.8
523.44,35.3,-41.74,-144.9
950.16,223.01,-306.91,713.36
833.28,-331.38,-475.83,328.83
1047.62,-167.1,21.98,905.04
2493.49,-989.57,60.02,2232.62
572.56,79.19,-210.02,165.68
1414.42,-64.84,-37.8,-1320.97
536.67,175.73,66.98,-51.43
763.13,52.24,-293.52,493.44
684.32,-260.19,61.78,-383.12
2369.95,39.02,-189.76,2308.49
663.53,-365.2,154.91,181.38
599.16,-287.83,147.25,66.79
1159.84,193.57,189.88,1010.8
1235.72,29.19,-484.29,1020.59
620.07,33.09,-225.98,286.93
844.83,-3.36,-92.46,674.67
726.53,-268.13,-7.2,453.77
1068.8,-557.21,-97.69,-756.52
2604.42,-435.12,610.03,2443.67
834.92,-260.54,-265.27,555.73
676.29,38.0,222.34,-395.59
560.47,-111.45,132.41,-184.85
654.7,-377.8,5.69,189.4
1111.76,135.49,358.26,-916.13
626.44,224.63,226.95,201.15
1969.05,-150.78,278.04,1878.06
791.69,96.52,-599.17,91.88
966.91,-89.44,-185.88,801.48
2686.03,31.23,-90.43,-2637.35
1047.64,668.81,-610.62,-165.47
1467.34,354.11,-150.37,1324.8
506.81,-27.62,-67.36,-39.5
2253.95,339.5,99.47,2169.13
753.13,292.68,112.2,467.92
819.44,-57.17,-3.83,-646.69
558.47,-89.97,-109.67,-204.37
982.4,-46.37,-336.28,-774.52
894.61,-14.5,-33.28,-740.95
670.07,445.52,20.71,-8.68
992.07,-232.14,-755.13,331.81
926.91,-618.26,152.9,-451.15
1533.38,87.22,-64.09,-1445.52
2194.4,-298.72,-72.41,2114.45
641.81,192.83,353.14,5.15
649.96,105.31,18.92,401.25
676.72,-62.01,30.65,450.74
546.1,-181.36,-14.34,-122.98
739.25,150.21,141.98,-503.76
615.52,-319.58,111.03,-120.03
1253.4,388.28,-268.36,1047.96
642.04,-203.65,-339.6,73.53
982.34,-35.06,-219.77,-815.76
1079.51,-352.02,-850.83,-259.83
1402.94,199.29,141.24,1287.86
999.03,-373.87,280.63,727.69
672.44,-243.51,58.78,373.4
1027.16,-280.44,69.87,849.43
1500.63,186.24,214.42,-1386.08
636.19,196.29,-332.17,-76.59
1435.48,141.76,44.27,-1337.37
628.97,351.49,132.62,66.87
1312.88,-165.86,-559.29,1064.58
1353.79,-686.76,-153.63,1042.84
1411.09,106.28,113.88,1310.31
1295.7,-388.27,-16.83,-1130.4
1254.83,120.51,546.82,1005.52
1410.42,66.73,-447.86,1238.64
834.36,-235.08,-360.47,510.84
971.72,-93.7,-285.8,777.04
764.96,-67.02,-66.63,571.17
680.43,289.06,56.23,355.35
537.55,-90.91,166.99,52.95
585.06,-90.56,-17.56,-289.46
1285.09,391.12,-269.36,1084.4
1392.27,769.38,-156.28,1035.4
815.34,301.46,88.4,562.21
814.67,41.5,-87.15,635.9
1673.76,252.16,-334.76,1541.38
2376.72,89.31,-108.82,2319.27
551.84,-7.83,-63.93,-224.46
834.82,-64.02,188.34,-638.24
1041.86,-106.03,-35.37,-907.18
1152.29,-97.51,-252.62,1002.22
927.89,-37.55,-47.31,779.31
1820.94,-399.13,-10.06,1704.83
529.37,147.65,88.59,24.18
2350.47,-423.41,84.86,2255.71
620.52,303.94,-49.55,-200.53
1182.29,723.08,-608.55,504.6
1819.3,41.36,-243.04,1731.78
1345.39,-434.4,-431.3,1088.74
744.05,-161.99,162.92,-500.83
1440.46,-104.42,692.38,-1155.26
561.85,6.43,58.59,-249.41
1449.46,-219.56,-29.59,1342.33
804.34,-579.48,128.75,-211.15
1892.48,-302.06,57.37,1799.15
1002.55,260.02,789.84,-252.26
782.45,27.16,-366.69,476.48
2081.29,-269.37,-43.9,2001.82
861.91,-591.51,196.71,-322.98
973.38,58.2,457.86,696.03
1164.79,-681.85,366.61,712.33
1235.51,261.84,-114.08,1093.12
546.75,139.23,77.2,153.58
716.77,50.27,233.56,454.63
707.24,324.09,161.75,344.94
738.61,74.09,-300.24,-447.1
739.95,458.41,143.85,-258.25
604.96,-279.57,171.9,-90.93
1086.16,404.9,352.95,-800.76
1474.4,83.33,232.97,1364.78
622.98,146.45,-27.66,340.42
1247.27,229.5,-1070.26,327.94
953.98,-109.96,-176.63,785.36
934.17,-105.39,-232.45,746.69
911.45,67.59,-369.02,663.33
955.05,313.05,-239.94,711.72
1048.07,-682.49,87.83,612.32
624.15,-126.83,321.9,140.89
1346.22,-37.91,-222.15,1229.44
1218.95,72.86,125.9,1102.12
819.66,-226.11,376.37,478.6
505.19,45.72,52.5,19.3
831.23,-91.49,154.41,639.32
533.74,165.88,6.22,-85.56
904.39,120.51,-180.01,721.8
881.26,543.65,-143.4,458.79
1085.01,478.61,211.4,808.39
1300.91,-50.86,470.28,-1103.92
566.68,-35.24,-74.77,-253.58
554.84,131.9,169.17,108.79
1294.81,419.83,-969.62,556.87
652.69,256.62,38.84,329.61
794.07,-182.56,-81.5,583.59
2010.17,-57.66,-256.29,1929.19
866.2,-148.77,249.2,-645.03
778.79,-22.32,3.8,-596.65
2527.51,-274.07,-270.14,2447.49
2059.78,-154.34,-181.48,1983.92
2114.65,557.38,374.34,1941.89
504.34,41.58,51.25,0.44
733.84,-169.83,-443.8,250.44
750.96,-118.42,-75.35,542.43
589.54,265.13,159.88,-41.19
1558.43,405.56,148.46,1411.45
713.22,212.02,-37.11,-460.82
654.92,-78.14,-131.86,394.25
1174.61,669.18,-86.21,-821.27
1068.48,9.36,-253.66,909.51
870.41,-193.05,-579.47,-366.81
703.81,-341.71,-29.58,357.37
1331.85,28.74,-338.49,1186.77
