E,px,py,pz
1341.41,23.01,254.46,1218.24
717.69,-60.0,97.82,-501.9
651.16,105.53,-156.57,-371.96
1206.21,-722.66,-825.19,-42.08
1001.86,301.95,76.69,810.35
1172.11,304.29,51.05,-1014.22
1233.8,129.88,147.0,-1110.75
585.74,-54.73,296.08,49.32
575.7,25.49,86.46,270.75
1018.2,-100.48,379.13,795.54
1196.38,459.17,-539.87,-824.03
994.98,-35.3,41.74,-858.49
775.12,-207.52,278.61,479.71
1048.08,367.47,512.35,-671.51
532.47,167.1,-21.98,-71.52
1154.14,998.76,-290.68,3.26
704.63,-79.19,210.02,-442.87
543.55,114.75,37.53,-175.69
2219.87,-175.73,-66.98,-2154.64
609.07,-181.37,233.48,183.2
668.07,238.1,-33.9,-372.13
908.75,-39.02,189.76,733.68
838.19,365.2,-154.91,-543.31
597.58,287.83,-147.25,50.72
620.01,-193.57,-189.88,246.76
935.05,-29.19,484.29,623.65
558.93,-33.09,225.98,101.22
581.32,8.81,167.13,244.8
764.23,268.13,7.2,-511.96
1942.59,597.95,167.78,-1771.43
1858.39,435.12,-610.03,1625.47
906.65,260.54,265.27,658.61
603.55,88.42,-224.37,-236.89
569.54,85.25,-88.4,243.5
801.52,377.8,-5.69,499.67
1008.13,-135.49,-358.26,-787.16
581.04,-229.08,-176.33,-63.5
823.3,150.78,-278.04,572.52
1046.87,-83.32,759.67,511.76
681.04,127.08,111.23,430.45
1642.01,-69.23,98.75,-1559.38
1040.43,-668.81,610.62,-111.07
1174.84,-354.11,150.37,991.09
508.29,-48.11,39.78,66.79
1100.46,-369.87,-125.41,899.16
618.29,-292.68,-112.2,184.49
855.4,27.19,-74.77,-689.48
520.48,89.97,109.67,27.98
920.93,119.9,390.93,-656.43
500.59,12.46,-16.31,12.95
737.7,-445.52,-20.71,308.69
914.3,254.6,718.12,-73.59
556.17,143.52,-57.02,188.33
1134.11,-88.83,115.01,-1007.51
1600.28,298.72,72.41,1488.76
710.52,-192.83,-353.14,-304.87
661.79,-105.31,-18.92,420.15
592.97,61.19,3.68,312.81
1107.73,79.47,-81.24,-981.91
551.88,-150.21,-141.98,-108.87
1392.17,319.58,-111.03,-1254.47
738.87,-388.28,268.36,270.46
708.48,194.02,291.9,359.29
640.74,-19.17,202.89,-344.98
1162.24,352.02,850.83,502.97
614.05,-199.29,-141.24,-259.6
651.91,337.86,-199.64,144.84
632.66,243.51,-58.78,295.83
680.44,280.44,-69.87,359.82
562.82,-33.17,-227.47,-118.0
963.45,-245.97,280.75,-734.11
1102.53,-176.36,-91.78,-962.32
635.72,-351.49,-132.62,-114.08
1539.3,165.86,559.29,1333.84
1840.94,686.76,153.63,1625.98
575.81,-52.45,-140.0,243.31
1551.44,423.88,20.2,-1406.01
1486.92,-120.51,-546.82,1283.51
1174.43,-66.73,447.86,961.38
659.7,235.08,360.47,-0.24
694.15,387.15,202.98,201.88
602.0,67.02,66.63,-321.67
1428.49,-324.0,-33.52,1297.87
754.84,86.29,-198.2,522.54
524.98,-112.94,53.97,99.68
860.48,-391.12,269.36,514.69
964.37,-769.38,156.28,252.27
614.89,-301.46,-88.4,-171.45
510.91,-41.5,87.15,41.42
986.85,-252.16,334.76,740.42
920.57,-109.13,81.58,760.85
1070.1,-61.65,20.3,943.87
749.23,105.49,-228.31,498.08
941.14,-51.52,-228.11,-762.27
1164.19,97.51,252.62,1015.88
790.71,5.54,66.45,608.92
2338.08,399.13,10.06,2248.83
724.87,-147.65,-88.59,495.77
712.78,423.41,-84.86,-267.54
686.66,-408.33,126.4,-196.95
1039.95,-735.02,529.4,104.76
1606.48,-41.36,243.04,1506.65
1261.54,434.4,431.3,983.23
816.96,161.99,-162.92,-603.86
883.98,130.0,-635.44,-332.79
1191.61,-15.77,-8.95,1081.49
1473.08,104.91,68.17,1379.97
910.49,602.61,-100.14,-453.68
2167.6,361.63,-259.57,2061.64
1276.49,-548.76,-1008.74,246.45
1566.9,-27.16,366.69,1438.75
648.89,269.37,43.9,310.76
776.43,564.94,-175.44,53.87
986.62,-58.2,-457.86,714.42
1067.9,681.85,-366.61,-539.52
1464.56,-261.84,114.08,1346.61
801.42,-86.91,-103.94,611.48
674.96,-91.44,-208.49,392.1
816.38,-324.09,-161.75,534.11
802.74,-74.09,300.24,-546.59
672.56,-364.0,-169.87,202.47
730.38,532.29,-6.83,-8.29
756.37,-437.2,-342.47,116.89
793.7,-113.95,-243.9,554.52
637.91,-133.25,-27.97,-372.0
1864.43,-356.23,716.92,-1607.86
1366.45,85.27,228.86,1248.02
1095.2,105.39,232.45,940.39
662.2,-96.51,392.27,159.12
1593.35,-319.19,270.65,1453.84
1256.69,682.49,-87.83,925.07
674.62,126.83,-321.9,-292.23
980.91,37.91,222.15,813.27
842.48,-72.86,-125.9,662.28
685.08,226.11,-376.37,-162.95
543.8,-45.72,-52.5,-202.17
903.97,91.49,-154.41,731.41
656.13,-165.88,-6.22,-391.1
1814.3,-120.51,180.01,-1730.53
904.45,-543.65,143.4,-501.89
1468.46,-474.81,-353.95,1247.26
1049.07,31.29,-493.92,-778.22
580.24,35.24,74.77,-282.58
677.01,-84.95,-59.75,444.47
1194.49,-436.78,928.64,351.66
802.82,-256.62,-38.84,571.98
1548.35,182.56,81.5,1451.69
752.94,-74.86,201.32,520.37
640.18,104.51,-269.76,275.92
644.75,-5.67,30.62,405.87
738.55,274.07,270.14,383.89
1220.32,154.34,181.48,1087.39
971.21,-557.38,-374.34,492.39
736.57,298.51,310.4,327.22
723.75,133.51,453.15,225.04
521.67,118.42,75.35,-49.4
683.54,-305.57,-121.87,330.16
1046.09,-405.56,-148.46,811.04
991.8,-212.02,37.11,-829.05
536.55,78.14,131.86,119.98
1009.38,-719.41,-109.78,489.13
1144.8,221.39,438.64,905.07
762.59,216.29,533.62,2.37
679.89,341.71,29.58,307.59
704.18,-28.74,338.49,361.19
784.66,-12.52,-36.46,603.49
1067.56,177.95,-4.7,926.28
1095.7,134.58,-171.07,950.36
3061.57,160.98,-129.17,-3013.41
723.95,36.65,167.52,494.67
512.79,88.87,52.32,48.16
672.35,-12.79,133.65,428.99
561.54,241.93,50.47,-65.21
1153.76,-817.62,-209.2,607.35
711.61,-227.23,415.01,180.34
677.6,42.3,128.85,436.75
1050.47,337.26,-104.33,853.74
930.78,-303.26,31.12,723.48
644.07,52.85,325.41,-236.93
642.45,84.31,154.32,363.06
940.54,-174.74,-261.62,-731.87
931.16,-163.74,49.3,-766.69
1077.7,-250.83,173.33,904.7
900.53,-112.0,-19.2,740.3
1124.48,-231.18,-12.39,980.24
637.57,-64.06,-49.19,387.26
1044.4,-60.68,-163.63,-900.18
861.36,165.94,-234.32,-639.92
828.73,-58.64,-70.82,654.48
1220.96,371.97,116.34,1043.48
830.93,156.85,35.0,643.91
573.38,-176.37,130.62,174.92
581.58,210.75,-32.98,-206.72
1070.48,-127.51,169.4,-922.48
725.96,-494.43,65.77,168.02
806.19,12.2,-218.95,593.18
1074.8,-43.14,294.92,-903.52
1319.97,385.98,245.72,1132.68
913.83,-276.15,333.67,630.47
877.82,-195.83,149.77,-678.08
928.88,23.22,603.33,498.26
695.45,-66.3,-123.48,-462.6
1070.25,-260.48,-519.64,-746.71
744.47,96.07,337.74,425.36
804.09,-190.38,-222.43,557.53
639.28,-169.28,-281.64,225.18
552.33,-81.38,80.34,204.92
1273.66,913.39,577.54,452.05
2021.46,171.78,638.87,-1843.54
955.16,221.67,-212.02,-753.82
581.32,9.68,-36.17,-294.15
1837.07,-295.3,125.54,1738.35
1040.88,4.23,90.85,908.38
1590.08,30.21,-17.47,1509.02
581.85,-6.31,-260.74,143.26
959.11,-136.01,-129.75,796.59
944.61,82.05,99.53,-790.98
784.74,-359.18,258.92,-412.04
1226.77,117.48,-766.14,808.82
712.2,207.0,-332.77,321.95
947.0,-94.81,375.06,705.09
577.89,211.91,-121.21,156.1
1740.57,-535.67,-249.37,1558.99
914.81,306.12,329.51,-620.15
595.59,194.44,-128.37,-224.6
1755.6,-24.7,-32.81,-1682.39
591.58,69.54,-80.27,297.8
547.83,213.07,-51.97,44.98
550.18,30.26,-226.29,24.01
644.68,-265.68,194.09,239.48
517.69,42.59,35.29,122.26
817.49,-3.54,115.9,-636.28
510.81,-70.76,-22.95,-73.47
1064.02,-167.85,173.63,-907.64
630.26,-131.61,358.62,-36.07
882.06,-28.34,95.26,-719.82
528.44,73.43,7.82,154.25
680.89,-446.1,-33.74,116.08
789.97,214.0,-24.54,572.41
981.46,-478.38,-147.43,680.2
850.92,50.35,180.28,-662.59
667.78,-248.22,-318.41,181.47
794.99,223.63,180.57,-547.17
592.57,63.75,-149.6,-273.31
982.32,-456.57,425.36,-570.59
735.53,30.25,-5.57,-538.57
726.04,-133.2,376.08,-343.44
638.72,-63.64,-47.74,389.41
518.16,-55.66,-0.82,-124.06
1168.63,-124.54,499.92,-922.09
1346.19,-522.49,-67.8,-1133.42
1029.11,35.45,-37.5,898.0
1412.67,138.16,-340.92,1268.98
964.1,172.48,-370.73,715.75
1063.66,936.3,19.45,65.77
1636.85,404.95,372.64,1458.23
951.18,-3.48,-275.71,-760.73
1111.93,5.29,-239.4,963.87
2043.29,64.79,-50.59,1979.47
534.06,18.25,25.04,-185.09
1358.22,-385.19,-364.27,1146.17
602.46,315.7,114.4,-14.19
724.99,170.38,-222.75,-443.81
633.98,-182.83,201.41,-279.16
650.6,-267.03,125.52,293.63
1713.01,-367.1,231.51,1579.88
643.29,137.88,-81.19,371.78
721.24,-13.1,-189.7,483.77
758.87,-132.39,-537.18,140.67
1090.07,135.01,-432.62,-856.08
802.17,-218.18,310.91,-499.21
666.54,95.7,-64.14,-425.45
564.72,257.63,50.12,5.22
542.38,4.38,171.96,120.78
606.24,-291.58,-14.44,-179.73
541.79,122.24,-155.05,-67.49
876.04,-88.83,-289.3,652.58
766.93,-235.86,-179.67,500.26
619.21,-22.77,158.74,328.19
715.95,-321.13,39.13,397.4
591.59,-46.07,-153.64,-272.49
893.21,-250.14,-75.6,-692.49
616.4,-116.2,170.47,295.61
531.27,95.76,43.88,145.45
1406.01,604.92,476.56,1064.82
971.29,184.79,-6.41,811.92
931.27,81.54,-757.58,191.53
1334.88,1160.04,-372.03,218.65
635.23,-237.24,34.93,309.86
823.89,546.3,311.46,182.58
1226.69,261.36,238.14,-1062.9
740.91,136.62,-358.47,-389.58
740.72,-497.61,-163.81,-155.6
604.09,309.23,55.13,-127.5
556.49,186.22,-7.33,157.95
734.66,488.03,-213.78,76.48
968.12,-97.55,206.02,-797.06
524.24,-129.34,-74.27,50.88
1015.1,-431.67,88.02,765.73
832.15,-425.62,-44.44,-509.26
1064.81,205.49,79.17,913.96
790.73,198.22,-469.6,339.77
2925.57,20.18,-3.06,2882.45
1330.72,78.99,37.3,1230.12
1130.84,41.52,518.5,870.77
748.93,231.63,112.78,494.49
923.51,-107.51,510.44,-575.13
2581.41,159.07,89.21,2525.95
903.23,357.46,-167.02,640.43
667.51,-337.03,285.37,-23.35
618.92,-11.52,19.51,-364.07
939.92,-189.82,-382.96,-671.39
633.41,-215.67,-97.68,-308.47
850.84,-76.62,-51.76,-682.19
700.98,83.01,137.97,464.16
574.4,-153.79,135.34,194.86
908.44,-236.9,-492.55,525.87
625.92,-133.17,-75.18,344.08
928.92,-525.26,497.09,-299.8
1151.11,130.81,-55.28,-1027.08
625.87,-150.98,-123.28,-322.07
842.5,166.3,-276.58,596.37
758.29,241.81,-80.85,509.9
1833.68,-485.55,-85.44,1693.9
573.39,18.43,-148.8,237.26
776.1,-262.14,-366.53,-386.36
729.87,-84.64,25.18,524.33
858.56,-68.55,109.03,685.96
806.78,-167.59,-73.77,606.11
543.21,39.31,-15.32,-208.08
1014.83,102.89,826.06,-294.83
624.59,-111.63,171.6,-313.38
1229.73,117.02,368.21,-1054.97
612.85,-124.16,64.79,-325.53
505.58,30.29,-66.93,-14.76
521.42,-26.06,143.28,25.92
716.37,283.84,-120.45,-410.03
1128.2,22.01,17.35,-1010.96
1191.73,-798.58,-706.52,-182.51
698.64,93.18,-404.43,-256.61
1226.59,-144.38,142.96,1101.47
716.98,-58.45,119.39,496.37
673.94,-105.85,341.89,275.87
672.44,-248.09,228.54,-297.31
1240.77,347.33,193.05,1063.76
1415.92,-307.35,-687.93,1089.54
1252.77,209.22,-243.7,1102.84
978.79,-698.76,256.01,392.71
637.91,233.4,-188.99,258.32
1709.76,18.33,-317.67,1603.76
1210.24,504.58,-624.93,754.69
1375.46,902.05,25.77,-909.68
616.98,-40.12,75.54,351.21
647.37,327.54,-208.63,-135.22
1328.65,-45.35,-132.39,-1223.0
853.35,410.88,327.8,449.36
1588.48,-108.53,158.7,1495.43
736.6,-216.78,255.04,-424.9
1120.52,36.97,215.36,978.68
535.94,-176.08,-64.88,44.97
681.73,-138.85,-200.07,-394.27
713.36,-312.16,-148.95,373.16
897.36,-634.95,-174.2,348.93
601.22,63.43,266.49,190.84
700.85,87.43,-385.86,290.97
860.72,-366.85,452.01,389.81
938.68,-513.99,-74.88,-601.11
733.48,122.45,-249.67,458.99
658.36,172.53,-362.38,149.49
549.48,133.88,60.96,174.02
1170.59,114.05,554.11,-894.55
593.54,-52.12,87.37,303.21
611.16,-174.6,-80.95,-294.07
678.08,-79.5,-241.34,-381.09
555.14,-146.17,-187.68,-39.92
1114.57,217.54,220.18,946.82
652.4,-227.21,1.05,352.15
934.41,178.25,-728.9,-245.03
643.9,-92.19,-371.68,-134.02
1070.58,-254.76,-149.08,-899.46
623.43,231.18,29.67,-290.42
633.32,117.24,319.97,186.99
2768.55,168.83,-331.14,2697.54
549.49,19.05,-227.09,3.72
669.11,-282.78,-7.99,-343.04
1041.26,5.99,94.09,-908.47
1406.26,-139.24,84.94,1304.21
615.1,-303.36,124.91,-143.95
723.32,-218.78,-23.3,-474.12
579.08,-17.58,-257.04,-137.7
567.21,-10.2,-239.03,120.34
1357.55,873.6,910.73,18.27
792.78,48.34,-523.36,-319.78
1008.07,-41.58,86.88,870.02
682.9,318.27,32.79,-337.61
832.41,375.73,-258.54,484.65
659.76,149.39,-53.45,-400.14
805.69,149.02,-401.85,464.15
607.32,-161.27,63.3,298.04
653.74,-185.27,-76.51,370.4
737.81,145.33,438.81,284.06
1104.63,-659.87,446.64,579.04
550.48,52.13,-164.3,152.7
1003.27,-766.67,-410.79,1.04
544.81,-195.2,-13.66,92.34
730.22,-9.09,-84.38,525.37
522.2,89.28,-56.21,107.54
1060.39,64.2,-177.26,-915.91
800.54,32.33,-64.65,620.99
936.31,34.71,-345.53,711.39
565.62,99.96,-185.97,159.23
676.95,118.24,392.2,201.15
670.47,246.58,-79.49,363.88
711.56,210.4,136.16,-439.9
761.3,20.77,168.69,548.35
1082.51,-863.94,145.95,-392.6
840.49,379.23,159.73,535.81
1341.31,329.78,1117.53,437.58
821.54,173.37,-103.68,619.78
712.71,177.59,201.96,430.84
1512.72,463.5,144.16,-1342.65
613.55,-355.11,16.02,-8.87
533.68,-61.5,-85.84,153.83
868.08,-22.42,-92.16,-703.25
678.47,90.95,381.77,237.3
920.13,83.91,8.87,767.8
2030.68,-111.3,-147.71,1959.46
1352.55,130.41,-142.06,1241.86
1922.63,-57.96,-59.17,1854.62
665.71,-87.19,-181.86,-390.51
844.05,-4.86,157.98,661.4
555.27,-122.48,92.95,186.22
702.32,238.44,372.54,218.21
795.74,32.49,93.19,-611.12
1132.07,-142.05,-98.78,1000.82
1007.14,230.82,82.66,839.18
1242.6,-63.75,111.56,1130.29
549.53,-18.81,-3.28,227.21
685.77,137.87,-242.82,377.25
1918.16,622.43,-7.14,1744.09
1741.96,527.35,-201.43,1570.27
631.33,-319.74,-124.17,175.85
617.13,260.66,-250.66,-8.72
1036.49,-125.55,-87.66,894.9
