EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
32,6,2,37.1,-2.4868570112,-31.240000000000002,572.66,-169.7,-130.03,-179.56
32,6,1,37.1,0.46207005640000004,-7.12,556.85,215.45,107.49,-45.96
32,7,2,44.3,-2.4867573093999997,-37.32,572.66,-169.7,-130.03,-179.56
32,7,1,44.3,0.46187788919999995,-8.52,556.85,215.45,107.49,-45.96
32,8,2,51.4,-2.4865657088999997,-43.32,572.66,-169.7,-130.03,-179.56
32,8,1,51.4,0.4617784899,-9.92,556.85,215.45,107.49,-45.96
33,1,1,3.1,2.2548342,-3.44,946.05,-338.49,415.7,-598.03
33,1,2,3.1,-0.8677402,6.92,1482.61,368.22,-433.89,1274.48
33,2,1,5.05,2.254455423,-5.64,946.05,-338.49,415.7,-598.03
33,2,2,5.05,-0.8673267239999999,11.32,1482.61,368.22,-433.89,1274.48
33,3,1,8.85,2.25423828,-9.88,946.05,-338.49,415.7,-598.03
33,3,2,8.85,-0.8672320199999999,19.84,1482.61,368.22,-433.89,1274.48
33,4,1,12.25,2.254284249,-13.68,946.05,-338.49,415.7,-598.03
33,4,2,12.25,-0.866938212,27.44,1482.61,368.22,-433.89,1274.48
33,5,1,29.9,2.253999264,-33.36,946.05,-338.49,415.7,-598.03
33,5,2,29.9,-0.866940288,66.96000000000001,1482.61,368.22,-433.89,1274.48
33,6,1,37.1,2.253989099,-41.4,946.05,-338.49,415.7,-598.03
33,6,2,37.1,-0.8668624878000001,83.08,1482.61,368.22,-433.89,1274.48
33,7,1,44.3,2.2538996298,-49.4,946.05,-338.49,415.7,-598.03
33,7,2,44.3,-0.8668844729999999,99.24000000000001,1482.61,368.22,-433.89,1274.48
33,8,1,51.4,2.2538573967,-57.32,946.05,-338.49,415.7,-598.03
33,8,2,51.4,-0.8668020815999999,115.12,1482.61,368.22,-433.89,1274.48
40,1,2,3.1,0.0403225,-13.56,1434.63,299.27,12.05,-1310.9
40,1,1,3.1,3.0580584,-6.88,829.31,-271.43,22.72,-602.97
40,2,2,5.05,0.040594058999999995,-22.12,1434.63,299.27,12.05,-1310.9
40,2,1,5.05,3.0584158109999997,-11.16,829.31,-271.43,22.72,-602.97
40,3,2,8.85,0.040113011999999997,-38.76,1434.63,299.27,12.05,-1310.9
40,3,1,8.85,3.058193436,-19.6,829.31,-271.43,22.72,-602.97
40,4,2,12.25,0.040408137000000004,-53.64,1434.63,299.27,12.05,-1310.9
40,4,1,12.25,3.0579571960000003,-27.16,829.31,-271.43,22.72,-602.97
40,5,2,29.9,0.040595184,-130.96,1434.63,299.27,12.05,-1310.9
40,5,1,29.9,3.05771568,-66.36,829.31,-271.43,22.72,-602.97
40,6,2,37.1,0.0406900248,-162.56,1434.63,299.27,12.05,-1310.9
40,6,1,37.1,3.0575254446000004,-82.36,829.31,-271.43,22.72,-602.97
40,7,2,44.3,0.0407539314,-194.16,1434.63,299.27,12.05,-1310.9
40,7,1,44.3,3.0574658477999996,-98.4,829.31,-271.43,22.72,-602.97
40,8,2,51.4,0.0408794022,-225.28,1434.63,299.27,12.05,-1310.9
40,8,1,51.4,3.0573559379999997,-114.2,829.31,-271.43,22.72,-602.97
41,1,2,3.1,1.758061,-18.76,910.49,-23.04,121.95,-750.72
41,1,1,3.1,-2.3483824,-5.2,603.75,-121.55,-123.54,-290.65
41,2,2,5.05,1.7584158239999998,-30.560000000000002,910.49,-23.04,121.95,-750.72
