EventID,PID,Layer,r[cm],phi,z[cm],E[GeV],px[GeV],py[GeV],pz[GeV]
20,6,1,37.1,2.448733024,17.32,566.68,-186.18,154.48,112.25
20,6,2,37.1,-0.8135255634,45.160000000000004,676.12,198.55,-210.16,351.49
20,7,1,44.3,2.4486128575999997,20.68,566.68,-186.18,154.48,112.25
20,7,2,44.3,-0.8134668905999999,53.92,676.12,198.55,-210.16,351.49
20,8,1,51.4,2.4485968143,24,566.68,-186.18,154.48,112.25
20,8,2,51.4,-0.8134207263,62.6,676.12,198.55,-210.16,351.49
21,1,2,3.1,-1.3419328,-5.5600000000000005,1809.83,192.49,-825.24,-1519.01
21,1,1,3.1,1.8080609,1.44,1005.36,-185.63,768.07,369.27
21,2,2,5.05,-1.341584145,-9.040000000000001,1809.83,192.49,-825.24,-1519.01
21,2,1,5.05,1.8079207739999998,2.36,1005.36,-185.63,768.07,369.27
21,3,2,8.85,-1.3418085,-15.88,1809.83,192.49,-825.24,-1519.01
21,3,1,8.85,1.8079104,4.12,1005.36,-185.63,768.07,369.27
21,4,2,12.25,-1.341631781,-21.96,1809.83,192.49,-825.24,-1519.01
21,4,1,12.25,1.807753927,5.72,1005.36,-185.63,768.07,369.27
21,5,2,29.9,-1.341574176,-53.6,1809.83,192.49,-825.24,-1519.01
21,5,1,29.9,1.807793376,13.96,1005.36,-185.63,768.07,369.27
21,6,2,37.1,-1.3414877996,-66.52,1809.83,192.49,-825.24,-1519.01
21,6,1,37.1,1.8077734892000001,17.32,1005.36,-185.63,768.07,369.27
21,7,2,44.3,-1.3415027625999998,-79.4,1809.83,192.49,-825.24,-1519.01
21,7,1,44.3,1.8077553675999998,20.68,1005.36,-185.63,768.07,369.27
21,8,2,51.4,-1.341479412,-92.16,1809.83,192.49,-825.24,-1519.01
21,8,1,51.4,1.8077559590999999,24,1005.36,-185.63,768.07,369.27
25,1,1,3.1,-2.8806394,-10.84,733.03,-142.3,-38.05,-515.4
25,1,2,3.1,0.2612898,16.28,932.09,142.3,38.05,772.71
25,2,1,5.05,-2.8801979909999997,-17.68,733.03,-142.3,-38.05,-515.4
25,2,2,5.05,0.261386136,26.48,932.09,142.3,38.05,772.71
25,3,1,8.85,-2.880227256,-30.96,733.03,-142.3,-38.05,-515.4
25,3,2,8.85,0.26158203599999996,46.44,932.09,142.3,38.05,772.71
25,4,1,12.25,-2.880406291,-42.84,733.03,-142.3,-38.05,-515.4
25,4,2,12.25,0.261632483,64.28,932.09,142.3,38.05,772.71
25,5,1,29.9,-2.88089352,-104.60000000000001,733.03,-142.3,-38.05,-515.4
25,5,2,29.9,0.261878736,156.88,932.09,142.3,38.05,772.71
25,6,1,37.1,-2.8811103596,-129.76,733.03,-142.3,-38.05,-515.4
25,6,2,37.1,0.26201076780000004,194.64000000000001,932.09,142.3,38.05,772.71
25,7,1,44.3,-2.8812492254,-154.96,733.03,-142.3,-38.05,-515.4
25,7,2,44.3,0.26217595039999997,232.44,932.09,142.3,38.05,772.71
25,8,1,51.4,-2.8813363760999997,-179.76,733.03,-142.3,-38.05,-515.4
25,8,2,51.4,0.2623425714,269.72,932.09,142.3,38.05,772.71
26,1,2,3.1,1.6483838,1.96,722.97,-34.09,439.89,279.32
26,1,1,3.1,-1.419352,3.4,816.15,65.3,-429.93,476.44
26,2,2,5.05,1.6485148349999998,3.2,722.97,-34.09,439.89,279.32
26,2,1,5.05,-1.4198019659999999,5.5200000000000005,816.15,65.3,-429.93,476.44
26,3,2,8.85,1.648023324,5.6000000000000005,722.97,-34.09,439.89,279.32
26,3,1,8.85,-1.420339608,9.68,816.15,65.3,-429.93,476.44
26,4,2,12.25,1.648162194,7.76,722.97,-34.09,439.89,279.32
26,4,1,12.25,-1.419999077,13.44,816.15,65.3,-429.93,476.44
26,5,2,29.9,1.648369152,18.96,722.97,-34.09,439.89,279.32
26,5,1,29.9,-1.42026288,32.76,816.15,65.3,-429.93,476.44
26,6,2,37.1,1.6484042254000002,23.52,722.97,-34.09,439.89,279.32
26,6,1,37.1,-1.4203018116000001,40.68,816.15,65.3,-429.93,476.44
26,7,2,44.3,1.6484236131999999,28.080000000000002,722.97,-34.09,439.89,279.32
26,7,1,44.3,-1.4203243963999999,48.56,816.15,65.3,-429.93,476.44
26,8,2,51.4,1.6484718159,32.6,722.97,-34.09,439.89,279.32
26,8,1,51.4,-1.4203938566999998,56.36,816.15,65.3,-429.93,476.44
27,1,1,3.1,-0.3338703,-13.72,691.11,99.28,-34.42,-465.4
27,1,2,3.1,2.8080589,20.72,868.78,-99.28,34.42,702.67
27,2,1,5.05,-0.333663363,-22.36,691.11,99.28,-34.42,-465.4
27,2,2,5.05,2.807920764,33.76,868.78,-99.28,34.42,702.67
27,3,1,8.85,-0.33389845199999996,-39.2,691.11,99.28,-34.42,-465.4
27,3,2,8.85,2.80791084,59.2,868.78,-99.28,34.42,702.67
27,4,1,12.25,-0.333877334,-54.24,691.11,99.28,-34.42,-465.4
27,4,2,12.25,2.80816144,81.92,868.78,-99.28,34.42,702.67
27,5,1,29.9,-0.334540704,-132.36,691.11,99.28,-34.42,-465.4
27,5,2,29.9,2.8086864,200,868.78,-99.28,34.42,702.67
27,6,1,37.1,-0.33477626260000004,-164.24,691.11,99.28,-34.42,-465.4
27,6,2,37.1,2.80889473,248.16,868.78,-99.28,34.42,702.67
27,7,1,44.3,-0.33501113099999996,-196.08,691.11,99.28,-34.42,-465.4
27,7,2,44.3,2.8091047893999996,296.36,868.78,-99.28,34.42,702.67
27,8,1,51.4,-0.3352375572,-227.48000000000002,691.11,99.28,-34.42,-465.4
27,8,2,51.4,2.8093674609,343.88,868.78,-99.28,34.42,702.67
32,1,2,3.1,-2.4870918,-2.6,572.66,-169.7,-130.03,-179.56
32,1,1,3.1,0.4629023,-0.6,556.85,215.45,107.49,-45.96
32,2,2,5.05,-2.488118787,-4.24,572.66,-169.7,-130.03,-179.56
32,2,1,5.05,0.46237623299999997,-0.96,556.85,215.45,107.49,-45.96
32,3,2,8.85,-2.4875717159999997,-7.44,572.66,-169.7,-130.03,-179.56
32,3,1,8.85,0.462712068,-1.68,556.85,215.45,107.49,-45.96
32,4,2,12.25,-2.487345322,-10.28,572.66,-169.7,-130.03,-179.56
32,4,1,12.25,0.46244867900000003,-2.36,556.85,215.45,107.49,-45.96
32,5,2,29.9,-2.487108864,-25.16,572.66,-169.7,-130.03,-179.56
32,5,1,29.9,0.46223928,-5.76,556.85,215.45,107.49,-45.96
32,6,2,37.1,-2.4868570112,-31.240000000000002,572.66,-169.7,-130.03,-179.56
32,6,1,37.1,0.46207005640000004,-7.12,556.85,215.45,107.49,-45.96
32,7,2,44.3,-2.4867573093999997,-37.32,572.66,-169.7,-130.03,-179.56
32,7,1,44.3,0.46187788919999995,-8.52,556.85,215.45,107.49,-45.96
32,8,2,51.4,-2.4865657088999997,-43.32,572.66,-169.7,-130.03,-179.56
32,8,1,51.4,0.4617784899,-9.92,556.85,215.45,107.49,-45.96
33,1,1,3.1,2.2548342,-3.44,946.05,-338.49,415.7,-598.03
33,1,2,3.1,-0.8677402,6.96,1482.61,368.22,-433.89,1274.48
33,2,1,5.05,2.254455423,-5.64,946.05,-338.49,415.7,-598.03
33,2,2,5.05,-0.8673267239999999,11.32,1482.61,368.22,-433.89,1274.48
33,3,1,8.85,2.25423828,-9.88,946.05,-338.49,415.7,-598.03
33,3,2,8.85,-0.8672320199999999,19.84,1482.61,368.22,-433.89,1274.48
33,4,1,12.25,2.254284249,-13.68,946.05,-338.49,415.7,-598.03
33,4,2,12.25,-0.866938212,27.44,1482.61,368.22,-433.89,1274.48
33,5,1,29.9,2.253999264,-33.36,946.05,-338.49,415.7,-598.03
33,5,2,29.9,-0.866940288,66.96000000000001,1482.61,368.22,-433.89,1274.48
33,6,1,37.1,2.253989099,-41.4,946.05,-338.49,415.7,-598.03
33,6,2,37.1,-0.8668624878000001,83.08,1482.61,368.22,-433.89,1274.48
33,7,1,44.3,2.2538996298,-49.4,946.05,-338.49,415.7,-598.03
33,7,2,44.3,-0.8668844729999999,99.2,1482.61,368.22,-433.89,1274.48
33,8,1,51.4,2.2538573967,-57.32,946.05,-338.49,415.7,-598.03
33,8,2,51.4,-0.8668020815999999,115.12,1482.61,368.22,-433.89,1274.48
42,1,1,3.1,2.6677366,-0.12,860.31,-622.44,319.01,-30.59
42,1,2,3.1,-0.4741926,1.84,954.3,622.44,-319.01,414.11
42,2,1,5.05,2.668316805,-0.24,860.31,-622.44,319.01,-30.59
42,2,2,5.05,-0.473267322,3,954.3,622.44,-319.01,414.11
42,3,1,8.85,2.667797784,-0.4,860.31,-622.44,319.01,-30.59
42,3,2,8.85,-0.473446536,5.24,954.3,622.44,-319.01,414.11
42,4,1,12.25,2.667753368,-0.52,860.31,-622.44,319.01,-30.59
42,4,2,12.25,-0.47346908000000004,7.24,954.3,622.44,-319.01,414.11
42,5,1,29.9,2.667910944,-1.32,860.31,-622.44,319.01,-30.59
42,5,2,29.9,-0.473496768,17.72,954.3,622.44,-319.01,414.11
42,6,1,37.1,2.6678543062,-1.6400000000000001,860.31,-622.44,319.01,-30.59
42,6,2,37.1,-0.47343393720000004,21.96,954.3,622.44,-319.01,414.11
42,7,1,44.3,2.6678091439999996,-1.92,860.31,-622.44,319.01,-30.59
42,7,2,44.3,-0.4733902992,26.240000000000002,954.3,622.44,-319.01,414.11
42,8,1,51.4,2.667744807,-2.24,860.31,-622.44,319.01,-30.59
42,8,2,51.4,-0.4734205203,30.44,954.3,622.44,-319.01,414.11
44,1,1,3.1,0.6435471,-0.6,565.91,208.24,156.39,-49.26
44,1,2,3.1,-2.4967692,3.68,642.92,-208.24,-156.39,309.07
44,2,1,5.05,0.6445544489999999,-0.96,565.91,208.24,156.39,-49.26
44,2,2,5.05,-2.4970296779999996,6,642.92,-208.24,-156.39,309.07
44,3,1,8.85,0.6440680799999999,-1.68,565.91,208.24,156.39,-49.26
44,3,2,8.85,-2.49717624,10.52,642.92,-208.24,-156.39,309.07
44,4,1,12.25,0.6440812140000001,-2.32,565.91,208.24,156.39,-49.26
44,4,2,12.25,-2.497141234,14.56,642.92,-208.24,-156.39,309.07
44,5,1,29.9,0.643837344,-5.64,565.91,208.24,156.39,-49.26
44,5,2,29.9,-2.49711552,35.52,642.92,-208.24,-156.39,309.07
44,6,1,37.1,0.6437088608,-7,565.91,208.24,156.39,-49.26
44,6,2,37.1,-2.4970295174,44.08,642.92,-208.24,-156.39,309.07
44,7,1,44.3,0.6436204684,-8.32,565.91,208.24,156.39,-49.26
44,7,2,44.3,-2.4969649796,52.64,642.92,-208.24,-156.39,309.07
44,8,1,51.4,0.6435529191,-9.64,565.91,208.24,156.39,-49.26
44,8,2,51.4,-2.4968847813,61.08,642.92,-208.24,-156.39,309.07
46,1,1,3.1,0.7725791,1.48,766.06,375.51,366.6,247.88
46,1,2,3.1,-2.3677372,2.8000000000000003,867.02,-375.51,-366.6,475.73
46,2,1,5.05,0.7732673189999999,2.4,766.06,375.51,366.6,247.88
46,2,2,5.05,-2.368316808,4.5600000000000005,867.02,-375.51,-366.6,475.73
46,3,1,8.85,0.773446668,4.2,766.06,375.51,366.6,247.88
46,3,2,8.85,-2.368362624,8.040000000000001,867.02,-375.51,-366.6,475.73
46,4,1,12.25,0.773468885,5.8,766.06,375.51,366.6,247.88
46,4,2,12.25,-2.3681617260000003,11.120000000000001,867.02,-375.51,-366.6,475.73
46,5,1,29.9,0.7732416,14.120000000000001,766.06,375.51,366.6,247.88
46,5,2,29.9,-2.3680524,27.12,867.02,-375.51,-366.6,475.73
46,6,1,37.1,0.7732021154000001,17.52,766.06,375.51,366.6,247.88
46,6,2,37.1,-2.3679944838,33.64,867.02,-375.51,-366.6,475.73
46,7,1,44.3,0.7731734556,20.96,766.06,375.51,366.6,247.88
46,7,2,44.3,-2.3679492382,40.160000000000004,867.02,-375.51,-366.6,475.73
46,8,1,51.4,0.7730705072999999,24.32,766.06,375.51,366.6,247.88
46,8,2,51.4,-2.3678963763,46.6,867.02,-375.51,-366.6,475.73
47,1,2,3.1,-1.7451578,0.24,649.19,-71.84,-406.59,31.16
47,1,1,3.1,1.6177387,0.44,676.13,-20.8,449.8,66.33
47,2,2,5.05,-1.7455445369999998,0.4,649.19,-71.84,-406.59,31.16
47,2,1,5.05,1.6168316669999998,0.76,676.13,-20.8,449.8,66.33
47,3,2,8.85,-1.74576348,0.68,649.19,-71.84,-406.59,31.16
47,3,1,8.85,1.616949864,1.32,676.13,-20.8,449.8,66.33
47,4,2,12.25,-1.7457131510000001,0.92,649.19,-71.84,-406.59,31.16
47,4,1,12.25,1.617141806,1.8,676.13,-20.8,449.8,66.33
47,5,2,29.9,-1.745592912,2.24,649.19,-71.84,-406.59,31.16
47,5,1,29.9,1.616870928,4.4,676.13,-20.8,449.8,66.33
47,6,2,37.1,-1.7455470774000001,2.8000000000000003,649.19,-71.84,-406.59,31.16
47,6,1,37.1,1.6168786206,5.48,676.13,-20.8,449.8,66.33
47,7,2,44.3,-1.7455116041999998,3.36,649.19,-71.84,-406.59,31.16
47,7,1,44.3,1.6168028603999998,6.5200000000000005,676.13,-20.8,449.8,66.33
47,8,2,51.4,-1.7454446372999999,3.88,649.19,-71.84,-406.59,31.16
47,8,1,51.4,1.6167869717999999,7.5600000000000005,676.13,-20.8,449.8,66.33
49,1,2,3.1,-0.9709658,-3,672.07,182.44,-267.2,-311.45
49,1,1,3.1,2.1693505,4.48,757.98,-182.44,267.2,468.88
49,2,2,5.05,-0.971287119,-4.88,672.07,182.44,-267.2,-311.45
49,2,1,5.05,2.170297008,7.32,757.98,-182.44,267.2,468.88
49,3,2,8.85,-0.9717518399999999,-8.52,672.07,182.44,-267.2,-311.45
49,3,1,8.85,2.170057452,12.84,757.98,-182.44,267.2,468.88
49,4,2,12.25,-0.97142794,-11.8,672.07,182.44,-267.2,-311.45
49,4,1,12.25,2.1697945080000003,17.76,757.98,-182.44,267.2,468.88
49,5,2,29.9,-0.971441616,-28.76,672.07,182.44,-267.2,-311.45
49,5,1,29.9,2.16962496,43.32,757.98,-182.44,267.2,468.88
49,6,2,37.1,-0.9713368758,-35.72,672.07,182.44,-267.2,-311.45
49,6,1,37.1,2.1694931466000003,53.76,757.98,-182.44,267.2,468.88
49,7,2,44.3,-0.9713404064,-42.64,672.07,182.44,-267.2,-311.45
49,7,1,44.3,2.1694752898,64.2,757.98,-182.44,267.2,468.88
49,8,2,51.4,-0.9712496157,-49.480000000000004,672.07,182.44,-267.2,-311.45
49,8,1,51.4,2.1693865284,74.52,757.98,-182.44,267.2,468.88
50,1,2,3.1,-1.596771,-3.92,598.85,-5.45,-204.63,-258.29
50,1,1,3.1,1.3693521,2.08,568.72,44.97,221.13,150.06
50,2,2,5.05,-1.5970296869999998,-6.36,598.85,-5.45,-204.63,-258.29
50,2,1,5.05,1.3702970159999999,3.36,568.72,44.97,221.13,150.06
50,3,2,8.85,-1.597175844,-11.16,598.85,-5.45,-204.63,-258.29
50,3,1,8.85,1.3700571,5.88,568.72,44.97,221.13,150.06
50,4,2,12.25,-1.597141819,-15.48,598.85,-5.45,-204.63,-258.29
50,4,1,12.25,1.369795028,8.16,568.72,44.97,221.13,150.06
